route_id,route_type,veh,lat,lon
ASC A Line,LR,3,2228101.367,1367595.628
1,L,4,2210215.286,1389444.578
102,L,4,2243922.34,1368679.941
103,L,3,2265884.712,1432283.407
104,L,1,2262054.612,1419574.998
107,L,10,2277408.953,1371110.033
110,L,10,2244224.452,1404253.741
111,L,13,2306142.34,1347908.074
114,L,4,2264336.982,1342119.179
115,L,10,2312453.9,1348418.584
116,L,10,2317084.554,1345570.391
117,L,14,2294665.131,1346666.265
119,L,6,2270580.998,1372280.791
12,L,13,2218013.659,1398606.4
120,L,7,2291682.122,1386360.85
121,L,11,2287928.108,1400185.141
123,L,3,2262952.629,1385951
124,L,4,2283402.785,1401351.843
125,L,4,2268656.15,1400395.103
126,L,3,2271566.722,1399944.344
132,L,3,2255555.352,1439756.656
133,L,3,2270940.375,1398825.215
14,L,4,2210215.286,1389444.578
140,L,4,2238791.066,1435253.338
141,L,7,2268156.2,1486365.856
142,L,3,2268192.798,1443289.288
143,L,13,2268156.2,1486365.856
148,L,1,2240728.012,1430182.412
15,L,13,2275420.548,1329043.098
150,L,4,2242566.725,1426350.798
153,L,3,2204674.739,1365777.639
155,L,4,2227246.437,1344348.511
162,L,3,2208886.796,1347404.323
165,L,6,2188893.259,1353264.816
172,L,3,2210832.17,1328528.452
178,L,4,2230324.504,1339054.171
180,L,6,2143240.741,1279830.067
181,L,10,2169898.037,1297361.991
183,L,3,2192996.865,1341996.854
185,L,6,2238791.066,1435253.338
186,L,10,2282527.244,1351314.445
189,L,7,2191318.807,1304884.388
19,L,6,2256822.567,1373092.472
191,L,7,2237640.213,1275376.551
192,L,4,2237640.213,1275376.551
193,L,8,2237640.213,1275376.551
194,L,4,2240740.462,1300025.093
195,L,3,2259375.692,1321788.035
196,L,14,2224659.624,1299034.112
2,L,3,2252197.35,1369413.056
201,L,7,2204318.905,1365805.975
21,L,10,2227968.034,1365554.246
221,E,4,2291682.122,1386360.85
24,L,4,2243922.34,1368679.941
25,L,3,2262054.612,1419574.998
26,L,6,2202170.727,1386289.744
27,L,4,2229604.708,1378458.653
295,E,3,2216635.847,1346237.818
3,L,4,2204674.739,1365777.639
30,L,4,2270940.375,1398825.215
32,L,6,2258672.648,1318026.921
34,L,4,2264336.982,1342119.179
36,L,6,2229728.39,1375484.468
37,L,4,2210215.286,1389444.578
39,L,10,2262054.612,1419574.998
4,L,3,2239827.356,1366955.801
40,L,4,2221532.285,1359052.089
42,L,4,2216635.847,1346237.818
47,L,3,2244224.452,1404253.741
49,L,8,2244763.729,1341901.94
5,L,11,2242566.725,1426350.798
50,L,4,2229577.509,1372137.177
51,L,6,2204674.739,1365777.639
55,L,10,2239958.213,1315399.549
58,L,4,2202460.63,1386232.105
6,L,11,2239827.356,1366955.801
60,L,3,2210215.286,1389444.578
66,L,6,2193886.921,1330647.421
68,L,7,2220386.088,1366393.017
71,L,11,2185437.456,1358561.389
73,L,14,2175488.064,1359229.547
74,L,4,2264822.003,1350114.604
75,L,7,2261607.65,1373440.079
78,L,7,2235303.492,1338981.484
79,L,3,2213291.839,1337484.95
8,L,4,2261464.977,1373025.064
800,L,1,2237640.213,1275376.551
809,L,6,2232991.785,1364149.667
81,L,6,2213291.839,1337484.95
813,L,4,2212071.772,1365320.902
816,L,6,2228103.351,1365443.334
82,L,11,2171199.218,1319233.209
823,L,1,2264101.011,1364212.61
825,L,1,2240593.914,1422569.947
83,L,8,2192996.865,1341996.854
832,L,3,2239949.674,1351544.323
84,L,6,2191092.195,1328508.03
85,L,6,2238791.066,1435253.338
850,L,4,2196818.888,1383476.13
853,L,4,2212071.772,1365320.902
856,L,3,2190837.864,1367718.872
86,L,10,2306142.34,1347908.074
865,L,3,2186776.921,1362894.406
867,L,4,2204674.739,1365777.639
87,L,8,2242566.725,1426350.798
89,L,10,2224499.67,1298080.074
899,L,4,2229644.605,1364141.718
9,L,6,2264802.175,1350053.131
93,L,4,2194144.23,1335282.259
94,L,4,2221532.285,1359052.089
95,L,7,2225689.436,1329751.163
BLUE,HR,11,2204600.891,1365884.834
GOLD,HR,14,2211511.096,1324485.525
GREEN,HR,6,2243654.48,1368432.597
RED,HR,14,2238784.905,1434875.278
Summerhill BRT,BRT,6,2226821.443,1371779.324
Cambellton BRT,BRT,7,2218085.541,1353318.486
Clayton BRT,BRT,11,2208556.843,1320334.5
