"block_id","startroute_id","endroute_id","start_stop","end_stop","start_time","end_time","deaddist_start","deaddist_mid","deaddist_end","deadtime_start","deadtime_mid","deadtime_end","time","distance","start_div","end_div","SLong","SLat","ELong","ELat","FTLong","FTLat","Sdistance","Sduration","Edistance","Eduration","Sdistance_A","Sduration_A","Edistance_A","Eduration_A","Sdistance_B","Sduration_B","Edistance_B","Eduration_B","Sdistance_C","Sduration_C","Edistance_C","Eduration_C","distance_A","distance_B","distance_C","duration_A","duration_B","duration_C","Min_div","Deaddistnew","Deaddistfix"
413790,14903,14903,902145,903009,2020-12-22 17:15:00,2020-12-23 01:08:00,0,0,0,0,0,0,7.88333333333333,89.3039316512172,"B","B",-84.36995,33.823072,-84.344734,33.920969,-84.4415687,33.79003609,7.78617321386407,0.288611111111111,16.1005753911541,0.483333333333333,8.53909055886264,0.286972222222222,14.4978065542396,0.35225,7.78617321386407,0.288611111111111,16.1005753911541,0.483333333333333,14.2386941230567,0.3945,22.7028471298793,0.584611111111111,23.0368971131023,23.8867486050182,36.941541252936,0.639222222222222,0.771944444444444,0.979111111111111,"A",23.0368971131023,23.8867486050182
413200,14904,14904,901155,901155,2020-12-22 05:05:00,2020-12-23 00:19:00,0,0,0,0,0,0,19.2333333333333,207.448084430334,"A","A",-84.353409,33.757726,-84.353409,33.757726,-84.2673429,33.78335509,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,7.69178669516696,0.294416666666667,7.69178669516696,0.294416666666667,9.89188114382293,0.300694444444444,9.89188114382293,0.300694444444444,11.79427591435,15.3835733903339,19.7837622876459,0.436333333333333,0.588833333333333,0.601388888888889,"A",11.79427591435,11.79427591435
414421,14904,14904,902144,902144,2020-12-22 05:20:00,2020-12-23 00:04:00,0,0,0,0,0,0,18.7333333333333,206.335666805978,"A","A",-84.36941,33.821192,-84.36941,33.821192,-84.2673429,33.78335509,8.56375905650764,0.292333333333333,8.56375905650764,0.292333333333333,8.56375905650764,0.292333333333333,8.56375905650764,0.292333333333333,7.81121453515106,0.295333333333333,7.81121453515106,0.295333333333333,14.2637354443436,0.401222222222222,14.2637354443436,0.401222222222222,17.1275181130153,15.6224290703021,28.5274708886873,0.584666666666667,0.590666666666667,0.802444444444445,"B",15.6224290703021,17.1275181130153
414130,14904,14904,901155,901155,2020-12-22 05:35:00,2020-12-22 18:36:00,0,0,0,0,0,0,13.0166666666667,138.486914289333,"A","A",-84.353409,33.757726,-84.353409,33.757726,-84.2673429,33.78335509,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,7.69178669516696,0.294416666666667,7.69178669516696,0.294416666666667,9.89188114382293,0.300694444444444,9.89188114382293,0.300694444444444,11.79427591435,15.3835733903339,19.7837622876459,0.436333333333333,0.588833333333333,0.601388888888889,"A",11.79427591435,11.79427591435
414744,14904,14904,902144,901953,2020-12-22 05:35:00,2020-12-22 08:50:00,0,13.1847216871513,0,0,0.490416666666667,0,2.75958333333333,17.8111139528832,"A","A",-84.36941,33.821192,-84.320993,33.790491,-84.2673429,33.78335509,8.56375905650764,0.292333333333333,4.50240471249083,0.160861111111111,8.56375905650764,0.292333333333333,4.50240471249083,0.160861111111111,7.81121453515106,0.295333333333333,9.47966247032945,0.354277777777778,14.2637354443436,0.401222222222222,12.3147377185679,0.408611111111111,13.0661637689985,17.2908770054805,26.5784731629115,0.453194444444444,0.649611111111111,0.809833333333333,"A",13.0661637689985,13.0661637689985
413489,14904,14904,902144,901953,2020-12-22 06:05:00,2020-12-22 09:20:00,0,13.1847216871513,0,0,0.490416666666667,0,2.75958333333333,17.8111139528832,"A","A",-84.36941,33.821192,-84.320993,33.790491,-84.2673429,33.78335509,8.56375905650764,0.292333333333333,4.50240471249083,0.160861111111111,8.56375905650764,0.292333333333333,4.50240471249083,0.160861111111111,7.81121453515106,0.295333333333333,9.47966247032945,0.354277777777778,14.2637354443436,0.401222222222222,12.3147377185679,0.408611111111111,13.0661637689985,17.2908770054805,26.5784731629115,0.453194444444444,0.649611111111111,0.809833333333333,"A",13.0661637689985,13.0661637689985
412546,14904,14904,902144,902144,2020-12-22 07:45:00,2020-12-22 09:19:00,0,0,0,0,0,0,1.56666666666667,16.6849202425875,"A","A",-84.36941,33.821192,-84.36941,33.821192,-84.2673429,33.78335509,8.56375905650764,0.292333333333333,8.56375905650764,0.292333333333333,8.56375905650764,0.292333333333333,8.56375905650764,0.292333333333333,7.81121453515106,0.295333333333333,7.81121453515106,0.295333333333333,14.2637354443436,0.401222222222222,14.2637354443436,0.401222222222222,17.1275181130153,15.6224290703021,28.5274708886873,0.584666666666667,0.590666666666667,0.802444444444445,"B",15.6224290703021,17.1275181130153
413201,14904,14904,901492,902144,2020-12-22 15:35:00,2020-12-22 17:55:00,0,9.15791566729218,0,0,0.351444444444444,0,1.98188888888889,13.3516235900089,"A","A",-84.320906,33.790008,-84.36941,33.821192,-84.2673429,33.78335509,4.46897485925907,0.158583333333333,8.56375905650764,0.292333333333333,4.46897485925907,0.158583333333333,8.56375905650764,0.292333333333333,9.44629475437136,0.352,7.81121453515106,0.295333333333333,12.2813700026098,0.406333333333333,14.2637354443436,0.401222222222222,13.0327339157667,17.2575092895224,26.5451054469534,0.450916666666667,0.647333333333333,0.807555555555556,"A",13.0327339157667,13.0327339157667
413199,14904,14904,901155,901155,2020-12-22 15:55:00,2020-12-22 23:52:00,0,0,0,0,0,0,7.95,86.2073183128584,"A","A",-84.353409,33.757726,-84.353409,33.757726,-84.2673429,33.78335509,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,5.89713795717499,0.218166666666667,7.69178669516696,0.294416666666667,7.69178669516696,0.294416666666667,9.89188114382293,0.300694444444444,9.89188114382293,0.300694444444444,11.79427591435,15.3835733903339,19.7837622876459,0.436333333333333,0.588833333333333,0.601388888888889,"A",11.79427591435,11.79427591435
414422,14904,14904,901492,902144,2020-12-22 16:01:00,2020-12-22 18:27:00,0,9.15791566729218,0,0,0.351444444444444,0,2.08188888888889,13.3516235900089,"A","A",-84.320906,33.790008,-84.36941,33.821192,-84.2673429,33.78335509,4.46897485925907,0.158583333333333,8.56375905650764,0.292333333333333,4.46897485925907,0.158583333333333,8.56375905650764,0.292333333333333,9.44629475437136,0.352,7.81121453515106,0.295333333333333,12.2813700026098,0.406333333333333,14.2637354443436,0.401222222222222,13.0327339157667,17.2575092895224,26.5451054469534,0.450916666666667,0.647333333333333,0.807555555555556,"A",13.0327339157667,13.0327339157667
413801,14909,14905,102258,900079,2020-12-22 05:00:00,2020-12-22 18:12:00,0,5.46379261063542,0,0,0.157472222222222,0,13.0425277777778,142.059597634521,"B","B",-84.391973,33.753505,-84.46919,33.87813,-84.4415687,33.79003609,5.57352703592777,0.216972222222222,9.64674959921458,0.315361111111111,8.22641579778046,0.293305555555556,18.426249269887,0.524055555555555,5.57352703592777,0.216972222222222,9.64674959921458,0.315361111111111,8.08996234481216,0.252333333333333,19.705655734649,0.499916666666667,26.6526650676675,15.2202766351424,27.7956180794611,0.817361111111111,0.532333333333333,0.75225,"B",15.2202766351424,15.2202766351424
413208,14905,14905,900079,900079,2020-12-22 05:07:00,2020-12-22 21:01:00,0,0,0,0,0,0,15.9,175.492706310704,"B","B",-84.46919,33.87813,-84.46919,33.87813,-84.4415687,33.79003609,9.64674959921458,0.315361111111111,9.64674959921458,0.315361111111111,18.426249269887,0.524055555555555,18.426249269887,0.524055555555555,9.64674959921458,0.315361111111111,9.64674959921458,0.315361111111111,19.705655734649,0.499916666666667,19.705655734649,0.499916666666667,36.8524985397741,19.2934991984292,39.411311469298,1.04811111111111,0.630722222222222,0.999833333333333,"B",19.2934991984292,19.2934991984292
413800,14905,14905,900079,900079,2020-12-22 05:24:00,2020-12-23 00:35:00,0,0,0,0,0,0,19.1833333333333,219.36588288838,"B","B",-84.46919,33.87813,-84.46919,33.87813,-84.4415687,33.79003609,9.64674959921458,0.315361111111111,9.64674959921458,0.315361111111111,18.426249269887,0.524055555555555,18.426249269887,0.524055555555555,9.64674959921458,0.315361111111111,9.64674959921458,0.315361111111111,19.705655734649,0.499916666666667,19.705655734649,0.499916666666667,36.8524985397741,19.2934991984292,39.411311469298,1.04811111111111,0.630722222222222,0.999833333333333,"B",19.2934991984292,19.2934991984292
413492,14905,14905,904800,904800,2020-12-22 05:35:00,2020-12-23 01:00:00,0,0,0,0,0,0,19.4166666666667,219.36588288838,"B","B",-84.386697,33.78111,-84.386697,33.78111,-84.4415687,33.79003609,4.15120484173636,0.200222222222222,4.15120484173636,0.200222222222222,8.66429716529758,0.319055555555556,8.66429716529758,0.319055555555556,4.15120484173636,0.200222222222222,4.15120484173636,0.200222222222222,10.7584475623548,0.313027777777778,10.7584475623548,0.313027777777778,17.3285943305952,8.30240968347273,21.5168951247095,0.638111111111111,0.400444444444444,0.626055555555556,"B",8.30240968347273,8.30240968347273
414135,14905,14905,900079,904800,2020-12-22 05:42:00,2020-12-23 00:00:00,0,0,0,0,0,0,18.3,208.192922635378,"B","B",-84.46919,33.87813,-84.386697,33.78111,-84.4415687,33.79003609,9.64674959921458,0.315361111111111,4.15120484173636,0.200222222222222,18.426249269887,0.524055555555555,8.66429716529758,0.319055555555556,9.64674959921458,0.315361111111111,4.15120484173636,0.200222222222222,19.705655734649,0.499916666666667,10.7584475623548,0.313027777777778,27.0905464351846,13.7979544409509,30.4641032970037,0.843111111111111,0.515583333333333,0.812944444444444,"B",13.7979544409509,13.7979544409509
413206,14905,14905,213236,904800,2020-12-22 06:01:00,2020-12-22 09:15:00,0,0,0,0,0,0,3.23333333333333,36.0682436514709,"B","B",-84.425116,33.844338,-84.386697,33.78111,-84.4415687,33.79003609,7.29156051549082,0.276222222222222,4.15120484173636,0.200222222222222,12.8585631376838,0.437527777777778,8.66429716529758,0.319055555555556,7.29156051549082,0.276222222222222,4.15120484173636,0.200222222222222,16.5565387053078,0.429777777777778,10.7584475623548,0.313027777777778,21.5228603029813,11.4427653572272,27.3149862676625,0.756583333333333,0.476444444444444,0.742805555555556,"B",11.4427653572272,11.4427653572272
