"Div","num_routes","sum_peak_veh","sum_rev_mile","sum_passengers","rev_mile_share","weekday_rev_mile","annual_rev_mile","veh_mile_share","weekday_veh_mile","annual_veh_mile","annual_veh_mile_per_peak_veh","veh_inspection_per_year","veh_engine_tune_up","veh_midlife_overhaul","fac_inspection_per_year","fac_engine_tune_up","fac_midlife_overhaul","num_bay","bay_inspection_per_year","bay_engine_tune_up","bay_total_service","schedule_utilization","major_failure","divfac_major_failure_divfac","divfac_bay_major_failure","bay_maintenance_demand","utilization"
"A",45,188,33199.09,67498,0.397306023779178,32404.2792994297,10857262.3649364,0.462643079348007,43292.2887930691,14313719.3210218,76136.8048990524,12.6894674831754,2.1149112471959,0.30454721959621,2385.61988683698,397.603314472829,57.2548772840874,20,119.280994341849,19.8801657236415,139.16116006549,0.556644640261961,3778.82190074977,1889.41095037488,94.4705475187442,233.631707584234,0.934526830336938
"B",36,141,25940.5,50729,0.310439741265311,25319.4652975987,8483449.82882462,0.337281150104692,31561.4209021967,10435145.2131817,74008.1220793031,12.3346870132172,2.05578116886953,0.296032488317212,1739.19086886362,289.865144810604,41.7405808527269,19,91.536361519138,15.2560602531897,106.792421772328,0.427169687089311,2754.87833627998,1377.43916813999,72.4967983231573,179.289220095485,0.71715688038194
"C",27,107,24420.91,47556,0.292254234955511,23836.2554029715,7986490.80623895,0.200075770547301,18722.2903047342,6190146.46579642,57851.8361289385,9.64197268815641,1.60699544802607,0.231407344515754,1031.69107763274,171.948512938789,24.7605858631857,16,64.480692352046,10.7467820586743,75.2274744107204,0.300909897642881,1634.19866697025,817.099333485127,51.0687083428204,126.296182753541,0.505184731014163
